,朝楼,YearMonth,老老荐劳伏_714157,老老荐劳伏_714207,老老荐劳伏_714243,老老荐劳伏_Opt,穿利荐劳伏,弥绊穿利,DD,MDD
167,20170905,201709,0.0067,-0.0069,-0.0126,0.0022767810000000003,2.040641565735896,2.040641565735896,0.0,-0.023146274024927416
168,20170906,201709,0.0104,0.0018,0.0008,0.00761096,2.0561728070670493,2.0561728070670493,0.0,-0.023146274024927416
169,20170907,201709,0.0095,0.0137,0.005699999999999999,0.01083603,2.0784535572896123,2.0784535572896123,0.0,-0.023146274024927416
170,20170908,201709,-0.0003,0.0132,-0.0072,0.004010697,2.0867896047364733,2.0867896047364733,0.0,-0.023146274024927416
171,20170911,201709,0.010700000000000001,0.01,0.0016,0.010447447,2.1085912285321085,2.1085912285321085,0.0,-0.023146274024927416
172,20170912,201709,0.0045000000000000005,-0.0006,0.0021,0.0028561440000000006,2.114613668717933,2.114613668717933,0.0,-0.023146274024927416
173,20170913,201709,-0.0040999999999999995,-0.008,0.0009,-0.005336082,2.1033299167833333,2.114613668717933,-0.005336081999999909,-0.023146274024927416
174,20170914,201709,0.013999999999999999,0.0118,0.0029,0.013259986999999999,2.1312200441365916,2.1312200441365916,0.0,-0.023146274024927416
175,20170915,201709,-0.0075,0.0128,-0.0006,-0.000964953,2.129163516961342,2.1312200441365916,-0.0009649529999999906,-0.023146274024927416
176,20170918,201709,0.0024,0.0024,0.0043,0.0024058329999999996,2.1342859288128437,2.1342859288128437,0.0,-0.023146274024927416
177,20170919,201709,0.0079,0.0092,0.006999999999999999,0.008314381000000001,2.1520311951879325,2.1520311951879325,0.0,-0.023146274024927416
178,20170920,201709,0.0025,-0.018000000000000002,-0.0031,-0.004095232,2.1432181281724008,2.1520311951879325,-0.004095231999999949,-0.023146274024927416
179,20170921,201709,0.0016,-0.0089,-0.0091,-0.001802089,2.139355858359021,2.1520311951879325,-0.00588994102746021,-0.023146274024927416
180,20170922,201709,0.0063,0.008100000000000001,0.013600000000000001,0.006899995,2.1541174030849186,2.1541174030849186,0.0,-0.023146274024927416
181,20170925,201709,0.013999999999999999,-0.0034000000000000002,-0.0012,0.008370023999999998,2.172147417447557,2.172147417447557,0.0,-0.023146274024927416
182,20170926,201709,0.0111,-0.0002,0.0,0.007439979000000001,2.1883081486182707,2.1883081486182707,0.0,-0.023146274024927416
