,날짜,누적수익률_Opt,누적수익률_714157,누적수익률_714207,누적수익률_714243,누적수익률,최고누적,DD,MDD,HL,HLcount,cummax,underwater
448,20181105,333.3755741729692,386.14,321.66,239.11,4.333755741729692,4.333755741729692,0.0,-0.041501962815291504,1,3,4.333755741729692,False
449,20181106,336.5005342265785,389.97,325.05,240.18,4.3650053422657855,4.3650053422657855,0.0,-0.041501962815291504,1,4,4.3650053422657855,False
450,20181107,336.0129911949816,391.76,322.23,239.07,4.360129911949816,4.3650053422657855,-0.001116935704238764,-0.041501962815291504,-1,-1,4.3650053422657855,True
451,20181108,342.57083906053754,392.89,333.69,248.35,4.425708390605376,4.425708390605376,0.0,-0.041501962815291504,1,1,4.425708390605376,False
452,20181109,342.6260076030567,395.92,331.41,246.25,4.426260076030567,4.426260076030567,0.0,-0.041501962815291504,1,2,4.426260076030567,False
453,20181112,342.31809330112554,397.3,329.57,245.11,4.423180933011255,4.426260076030567,-0.000695653433467669,-0.041501962815291504,-1,-1,4.426260076030567,True
454,20181113,335.75470378919437,389.25,320.55,246.46,4.357547037891944,4.426260076030567,-0.015523949555229066,-0.041501962815291504,-1,-2,4.426260076030567,True
455,20181114,338.11137641528126,397.03,320.62,241.17,4.381113764152813,4.426260076030567,-0.01019965187365146,-0.041501962815291504,-1,-3,4.426260076030567,True
456,20181115,339.68351163821234,400.65,322.81,237.06,4.396835116382123,4.426260076030567,-0.006647815343655106,-0.041501962815291504,-1,-4,4.426260076030567,True
457,20181116,342.44120334975946,404.4,325.88,237.04,4.424412033497594,4.426260076030567,-0.00041751783700649803,-0.041501962815291504,-1,-5,4.426260076030567,True
458,20181119,342.4029279902182,403.55,326.5,237.55,4.424029279902182,4.426260076030567,-0.0005039912002606783,-0.041501962815291504,-1,-6,4.426260076030567,True
459,20181120,341.8090269897418,399.77,328.42,239.24,4.418090269897418,4.426260076030567,-0.0018457582683383267,-0.041501962815291504,-1,-7,4.426260076030567,True
460,20181121,339.4242786851741,395.66,327.97,237.01,4.394242786851741,4.426260076030567,-0.007233485748433077,-0.041501962815291504,-1,-8,4.426260076030567,True
461,20181122,335.13322261225505,389.11,324.66,235.85,4.351332226122551,4.426260076030567,-0.016928026962032994,-0.041501962815291504,-1,-9,4.426260076030567,True
462,20181123,332.64937079162223,389.94,319.53,231.05,4.326493707916223,4.426260076030567,-0.02253965343216202,-0.041501962815291504,-1,-10,4.426260076030567,True
463,20181126,338.3782531796922,397.44,324.46,234.38,4.383782531796922,4.426260076030567,-0.009596712236515925,-0.041501962815291504,-1,-11,4.426260076030567,True
464,20181127,341.042957479108,401.35,325.91,236.59,4.410429574791079,4.426260076030567,-0.0035764959508850502,-0.041501962815291504,-1,-12,4.426260076030567,True
465,20181128,343.0912903498457,407.06,324.17,237.71,4.430912903498457,4.430912903498457,0.0,-0.041501962815291504,1,1,4.430912903498457,False
466,20181129,345.0175442889947,411.86,323.53,238.14,4.450175442889947,4.450175442889947,0.0,-0.041501962815291504,1,2,4.450175442889947,False
467,20181130,347.09887232503826,415.04,326.75,235.65,4.470988723250382,4.470988723250382,0.0,-0.041501962815291504,1,3,4.470988723250382,False
468,20181203,360.21470683728455,425.57,342.95,248.65,4.602147068372846,4.602147068372846,0.0,-0.041501962815291504,1,4,4.602147068372846,False
469,20181204,361.23219312456615,423.8,345.29,253.32,4.612321931245662,4.612321931245662,0.0,-0.041501962815291504,1,5,4.612321931245662,False
470,20181205,376.11280663258293,436.88,364.82,263.4,4.7611280663258295,4.7611280663258295,0.0,-0.041501962815291504,1,6,4.7611280663258295,False
471,20181206,372.83437702472986,437.18,358.43,258.1,4.728343770247299,4.7611280663258295,-0.006885825296405135,-0.041501962815291504,-1,-1,4.7611280663258295,True
472,20181207,374.3293018096633,436.11,363.44,258.62,4.743293018096633,4.7611280663258295,-0.003745971118764624,-0.041501962815291504,-1,-2,4.7611280663258295,True
473,20181210,373.4154044302744,436.13,360.95,258.62,4.734154044302744,4.7611280663258295,-0.005665468697190867,-0.041501962815291504,-1,-3,4.7611280663258295,True
474,20181211,371.7782447265263,432.35,360.95,258.62,4.717782447265263,4.7611280663258295,-0.009104064930985256,-0.041501962815291504,-1,-4,4.7611280663258295,True
475,20181212,375.8927995375336,441.85,360.95,258.62,4.758927995375336,4.7611280663258295,-0.00046209026933219377,-0.041501962815291504,-1,-5,4.7611280663258295,True
476,20181213,379.7347586964909,446.44,363.15,263.91,4.797347586964909,4.797347586964909,0.0,-0.041501962815291504,1,1,4.797347586964909,False
477,20181214,382.89052732541296,451.63,365.68,263.76,4.828905273254129,4.828905273254129,0.0,-0.041501962815291504,1,2,4.828905273254129,False
478,20181217,381.6610603669537,450.36,364.53,262.47,4.816610603669536,4.828905273254129,-0.002546057312966865,-0.041501962815291504,-1,-1,4.828905273254129,True
479,20181218,388.04697088242955,461.72,366.79,265.67,4.880469708824295,4.880469708824295,0.0,-0.041501962815291504,1,1,4.880469708824295,False
480,20181219,386.022654957758,457.44,365.72,266.82,4.86022654957758,4.880469708824295,-0.004147789138023716,-0.041501962815291504,-1,-1,4.880469708824295,True
481,20181220,391.1422639305672,468.15,367.05,266.76,4.9114226393056715,4.9114226393056715,0.0,-0.041501962815291504,1,1,4.9114226393056715,False
482,20181221,389.04805259367305,460.16,369.63,268.85,4.890480525936731,4.9114226393056715,-0.004263960751685891,-0.041501962815291504,-1,-1,4.9114226393056715,True
483,20181224,387.6026512454553,457.13,367.58,272.04,4.876026512454553,4.9114226393056715,-0.0072068989884613854,-0.041501962815291504,-1,-2,4.9114226393056715,True
484,20181226,374.27367431715317,442.24,352.7,265.08,4.742736743171532,4.9114226393056715,-0.03434562824713172,-0.041501962815291504,-1,-3,4.9114226393056715,True
485,20181227,376.09425443447304,443.46,357.2,263.17,4.760942544344731,4.9114226393056715,-0.030638799796348537,-0.041501962815291504,-1,-4,4.9114226393056715,True
486,20181228,376.7811756674755,443.5,358.35,264.41,4.767811756674755,4.9114226393056715,-0.029240180122478532,-0.041501962815291504,-1,-5,4.9114226393056715,True
487,20190102,379.9338349937113,445.09,363.67,266.92,4.799338349937113,4.9114226393056715,-0.022821145236322837,-0.041501962815291504,-1,-6,4.9114226393056715,True
488,20190103,377.68814252433486,438.55,364.92,267.55,4.7768814252433485,4.9114226393056715,-0.027393532168378587,-0.041501962815291504,-1,-7,4.9114226393056715,True
489,20190104,384.06062253244806,445.82,371.31,271.91,4.84060622532448,4.9114226393056715,-0.014418717178695584,-0.041501962815291504,-1,-8,4.9114226393056715,True
490,20190107,384.3289912063848,444.63,373.33,272.09,4.843289912063848,4.9114226393056715,-0.013872299788774689,-0.041501962815291504,-1,-9,4.9114226393056715,True
491,20190108,387.8620088003233,445.66,378.81,277.47,4.878620088003233,4.9114226393056715,-0.0066788288672049445,-0.041501962815291504,-1,-10,4.9114226393056715,True
492,20190109,390.0771910522503,447.72,380.78,280.49,4.900771910522503,4.9114226393056715,-0.002168562871769808,-0.041501962815291504,-1,-11,4.9114226393056715,True
493,20190110,389.8996316465436,448.92,377.61,282.92,4.8989963164654355,4.9114226393056715,-0.002530086240347007,-0.041501962815291504,-1,-12,4.9114226393056715,True
494,20190111,394.0844212063293,453.98,381.67,285.41,4.940844212063293,4.940844212063293,0.0,-0.041501962815291504,1,1,4.940844212063293,False
495,20190114,396.1007532376369,454.01,386.6,286.31,4.961007532376369,4.961007532376369,0.0,-0.041501962815291504,1,2,4.961007532376369,False
496,20190115,396.96035780602807,454.05,388.55,286.92,4.969603578060281,4.969603578060281,0.0,-0.041501962815291504,1,3,4.969603578060281,False
497,20190116,400.16392236653405,454.69,394.89,289.86,5.00163922366534,5.00163922366534,0.0,-0.041501962815291504,1,4,5.00163922366534,False
498,20190117,405.647411902918,458.23,401.02,298.41,5.05647411902918,5.05647411902918,0.0,-0.041501962815291504,1,5,5.05647411902918,False
499,20190118,408.16627424454884,461.84,402.92,299.69,5.081662742445489,5.081662742445489,0.0,-0.041501962815291504,1,6,5.081662742445489,False
500,20190121,417.48684639227366,475.69,408.25,306.55,5.174868463922737,5.174868463922737,0.0,-0.041501962815291504,1,7,5.174868463922737,False
501,20190122,414.5796827119527,473.18,405.32,302.81,5.145796827119527,5.174868463922737,-0.005617850387094059,-0.041501962815291504,-1,-1,5.174868463922737,True
502,20190123,417.3382466826632,477.47,406.33,305.49,5.173382466826633,5.174868463922737,-0.0002871564961436368,-0.041501962815291504,-1,-2,5.174868463922737,True
503,20190124,420.58039586461143,484.38,406.95,305.59,5.205803958646114,5.205803958646114,0.0,-0.041501962815291504,1,1,5.205803958646114,False
504,20190125,422.3043037706326,486.35,408.33,307.42,5.223043037706326,5.223043037706326,0.0,-0.041501962815291504,1,2,5.223043037706326,False
505,20190128,420.97429557834437,484.83,407.45,305.66,5.209742955783444,5.223043037706326,-0.002546423957617394,-0.041501962815291504,-1,-1,5.223043037706326,True
506,20190129,423.08842134096045,490.12,407.11,305.4,5.230884213409604,5.230884213409604,0.0,-0.041501962815291504,1,1,5.230884213409604,False
507,20190130,421.9341432895619,487.01,409.04,302.74,5.219341432895619,5.230884213409604,-0.002206659532702937,-0.041501962815291504,-1,-1,5.230884213409604,True
508,20190131,419.8203218028579,484.8,405.95,302.68,5.198203218028579,5.230884213409604,-0.006247700015467039,-0.041501962815291504,-1,-2,5.230884213409604,True
509,20190201,424.94510170975514,495.61,411.64,294.2,5.2494510170975515,5.2494510170975515,0.0,-0.041501962815291504,1,1,5.2494510170975515,False
510,20190207,425.5518704749372,498.52,410.3,293.4,5.255518704749372,5.255518704749372,0.0,-0.041501962815291504,1,2,5.255518704749372,False
511,20190208,426.63434694978565,496.88,414.72,294.19,5.266343469497857,5.266343469497857,0.0,-0.041501962815291504,1,3,5.266343469497857,False
512,20190211,426.7163493470139,495.85,416.58,293.37,5.267163493470139,5.267163493470139,0.0,-0.041501962815291504,1,4,5.267163493470139,False
513,20190212,430.95254760250566,502.99,417.16,298.1,5.3095254760250565,5.3095254760250565,0.0,-0.041501962815291504,1,5,5.3095254760250565,False
514,20190213,429.3511014117338,500.49,415.67,298.27,5.293511014117338,5.3095254760250565,-0.0030161757354835173,-0.041501962815291504,-1,-1,5.3095254760250565,True
515,20190214,435.92556075723365,503.34,429.06,300.2,5.3592556075723365,5.3592556075723365,0.0,-0.041501962815291504,1,1,5.3592556075723365,False
516,20190215,427.643439054206,492.13,420.77,298.39,5.27643439054206,5.3592556075723365,-0.015453865815479029,-0.041501962815291504,-1,-1,5.3592556075723365,True
517,20190218,425.07946975870505,488.99,417.69,298.07,5.25079469758705,5.3592556075723365,-0.020238055044815684,-0.041501962815291504,-1,-2,5.3592556075723365,True
518,20190219,429.2119545876282,494.84,420.15,301.57,5.292119545876282,5.3592556075723365,-0.012527124401604306,-0.041501962815291504,-1,-3,5.3592556075723365,True
519,20190220,431.5414451665665,497.69,423.71,300.43,5.315414451665665,5.3592556075723365,-0.008180456226929311,-0.041501962815291504,-1,-4,5.3592556075723365,True
520,20190221,436.3369117896216,504.09,427.82,302.98,5.363369117896216,5.363369117896216,0.0,-0.041501962815291504,1,1,5.363369117896216,False
521,20190222,430.06993922774177,497.39,420.37,299.9,5.3006993922774175,5.363369117896216,-0.011684768331473805,-0.041501962815291504,-1,-1,5.363369117896216,True
